elapsed_s,wall_clock,channel,value,valid
3.027,23:10:41.922,temperature,21.78,1
3.027,23:10:41.922,humidity,69.72,1
3.078,23:10:41.972,noise,84.7,1
6.152,23:10:45.047,temperature,21.78,1
6.153,23:10:45.047,humidity,69.79,1
6.153,23:10:45.047,noise,50.1,1
9.227,23:10:48.122,temperature,21.77,1
9.227,23:10:48.122,humidity,69.81,1
9.227,23:10:48.122,noise,44.0,1
12.308,23:10:51.203,temperature,21.75,1
12.308,23:10:51.203,humidity,69.93,1
12.359,23:10:51.253,noise,41.4,1
15.439,23:10:54.334,temperature,21.75,1
15.439,23:10:54.334,humidity,69.99,1
15.440,23:10:54.334,noise,45.5,1
18.516,23:10:57.411,temperature,21.75,1
18.516,23:10:57.411,humidity,70.11,1
18.516,23:10:57.411,noise,43.3,1
21.595,23:11:00.490,temperature,21.75,1
21.595,23:11:00.490,humidity,70.15,1
21.595,23:11:00.490,noise,41.8,1
24.723,23:11:03.618,temperature,21.77,1
24.723,23:11:03.618,humidity,70.2,1
24.723,23:11:03.618,noise,50.9,1
27.800,23:11:06.694,temperature,21.73,1
27.800,23:11:06.694,humidity,70.21,1
27.800,23:11:06.694,noise,46.8,1
30.877,23:11:09.772,temperature,21.79,1
30.877,23:11:09.772,humidity,70.37,1
30.928,23:11:09.822,noise,40.8,1
34.007,23:11:12.902,temperature,21.78,1
34.007,23:11:12.902,humidity,70.42,1
34.007,23:11:12.902,noise,40.4,1
37.087,23:11:15.982,temperature,21.79,1
37.087,23:11:15.982,humidity,70.53,1
37.087,23:11:15.982,noise,41.3,1
40.166,23:11:19.060,temperature,21.78,1
40.166,23:11:19.060,humidity,70.56,1
40.166,23:11:19.060,noise,41.3,1
43.294,23:11:22.189,temperature,21.76,1
43.294,23:11:22.189,humidity,70.62,1
43.294,23:11:22.189,noise,41.0,1
46.375,23:11:25.270,temperature,21.76,1
46.375,23:11:25.270,humidity,70.69,1
46.375,23:11:25.270,noise,40.4,1
49.455,23:11:28.350,temperature,21.76,1
49.455,23:11:28.350,humidity,70.79,1
49.455,23:11:28.350,noise,40.6,1
52.532,23:11:31.427,temperature,21.78,1
52.532,23:11:31.427,humidity,70.9,1
52.583,23:11:31.477,noise,40.8,1
55.661,23:11:34.556,temperature,21.78,1
55.661,23:11:34.556,humidity,70.97,1
55.661,23:11:34.556,noise,43.2,1
58.740,23:11:37.634,temperature,21.76,1
58.740,23:11:37.635,humidity,71.06,1
58.740,23:11:37.635,noise,41.4,1
61.818,23:11:40.713,temperature,21.81,1
61.818,23:11:40.713,humidity,71.12,1
61.869,23:11:40.764,noise,40.8,1
64.947,23:11:43.842,temperature,21.79,1
64.947,23:11:43.842,humidity,71.19,1
64.947,23:11:43.842,noise,40.7,1
68.024,23:11:46.918,temperature,21.8,1
68.024,23:11:46.918,humidity,71.25,1
68.024,23:11:46.918,noise,41.6,1
71.102,23:11:49.997,temperature,21.81,1
71.102,23:11:49.997,humidity,71.3,1
71.102,23:11:49.997,noise,40.8,1
74.190,23:11:53.084,temperature,21.81,1
74.240,23:11:53.135,humidity,71.39,1
74.241,23:11:53.135,noise,42.4,1
77.318,23:11:56.212,temperature,21.8,1
77.318,23:11:56.212,humidity,71.42,1
77.318,23:11:56.212,noise,41.5,1
80.397,23:11:59.291,temperature,21.8,1
80.397,23:11:59.291,humidity,71.45,1
80.397,23:11:59.291,noise,40.6,1
83.477,23:12:02.372,temperature,21.83,1
83.477,23:12:02.372,humidity,71.49,1
83.527,23:12:02.422,noise,40.9,1
86.604,23:12:05.499,temperature,21.81,1
86.604,23:12:05.499,humidity,71.56,1
86.604,23:12:05.499,noise,47.0,1
89.684,23:12:08.578,temperature,21.83,1
89.684,23:12:08.578,humidity,71.61,1
89.684,23:12:08.578,noise,49.9,1
92.763,23:12:11.658,temperature,21.83,1
92.763,23:12:11.658,humidity,71.68,1
92.763,23:12:11.658,noise,40.9,1
95.893,23:12:14.788,temperature,21.82,1
95.893,23:12:14.788,humidity,71.8,1
95.893,23:12:14.788,noise,40.9,1
98.971,23:12:17.866,temperature,21.83,1
98.971,23:12:17.866,humidity,71.9,1
98.971,23:12:17.866,noise,44.6,1
102.050,23:12:20.945,temperature,21.84,1
102.050,23:12:20.945,humidity,71.93,1
102.050,23:12:20.945,noise,42.5,1
105.130,23:12:24.024,temperature,21.85,1
105.180,23:12:24.075,humidity,72.0,1
105.181,23:12:24.075,noise,41.1,1
108.258,23:12:27.152,temperature,21.84,1
108.258,23:12:27.152,humidity,72.03,1
108.258,23:12:27.152,noise,42.6,1
111.336,23:12:30.231,temperature,21.87,1
111.336,23:12:30.231,humidity,72.1,1
111.336,23:12:30.231,noise,42.8,1
114.414,23:12:33.309,temperature,21.83,1
114.465,23:12:33.360,humidity,72.17,1
114.466,23:12:33.360,noise,41.0,1
117.544,23:12:36.438,temperature,21.86,1
117.544,23:12:36.439,humidity,72.21,1
117.544,23:12:36.439,noise,41.2,1
120.624,23:12:39.518,temperature,21.84,1
120.624,23:12:39.518,humidity,72.27,1
120.624,23:12:39.518,noise,44.4,1
123.701,23:12:42.596,temperature,21.86,1
123.702,23:12:42.596,humidity,72.37,1
123.752,23:12:42.647,noise,48.2,1
126.830,23:12:45.725,temperature,21.88,1
126.830,23:12:45.725,humidity,72.38,1
126.830,23:12:45.725,noise,49.2,1
129.910,23:12:48.805,temperature,21.87,1
129.910,23:12:48.805,humidity,72.42,1
129.910,23:12:48.805,noise,41.6,1
132.989,23:12:51.884,temperature,21.87,1
132.990,23:12:51.884,humidity,72.45,1
132.990,23:12:51.884,noise,43.7,1
136.120,23:12:55.015,temperature,21.87,1
136.120,23:12:55.015,humidity,72.42,1
136.120,23:12:55.015,noise,41.0,1
139.200,23:12:58.095,temperature,21.88,1
139.200,23:12:58.095,humidity,72.35,1
139.200,23:12:58.095,noise,40.9,1
142.280,23:13:01.175,temperature,21.87,1
142.280,23:13:01.175,humidity,72.22,1
142.280,23:13:01.175,noise,40.9,1
145.359,23:13:04.254,temperature,21.85,1
145.359,23:13:04.254,humidity,72.1,1
145.410,23:13:04.304,noise,41.2,1
148.490,23:13:07.385,temperature,21.84,1
148.491,23:13:07.385,humidity,72.05,1
148.491,23:13:07.385,noise,42.0,1
151.571,23:13:10.465,temperature,21.83,1
151.571,23:13:10.465,humidity,72.04,1
151.571,23:13:10.465,noise,40.6,1
154.651,23:13:13.545,temperature,21.84,1
154.651,23:13:13.545,humidity,72.05,1
154.651,23:13:13.545,noise,47.9,1
157.730,23:13:16.625,temperature,21.84,1
157.781,23:13:16.675,humidity,72.2,1
157.781,23:13:16.675,noise,42.7,1
160.861,23:13:19.755,temperature,21.87,1
160.861,23:13:19.755,humidity,72.48,1
160.861,23:13:19.755,noise,40.5,1
163.938,23:13:22.833,temperature,21.89,1
163.938,23:13:22.833,humidity,72.67,1
163.938,23:13:22.833,noise,40.7,1
167.018,23:13:25.913,temperature,21.89,1
167.018,23:13:25.913,humidity,72.82,1
167.069,23:13:25.964,noise,40.4,1
170.148,23:13:29.043,temperature,21.92,1
170.148,23:13:29.043,humidity,72.92,1
170.148,23:13:29.043,noise,40.4,1
173.228,23:13:32.123,temperature,21.95,1
173.228,23:13:32.123,humidity,73.11,1
173.228,23:13:32.123,noise,40.4,1
176.306,23:13:35.201,temperature,21.99,1
176.306,23:13:35.201,humidity,73.34,1
176.306,23:13:35.201,noise,40.5,1
179.435,23:13:38.330,temperature,22.03,1
179.435,23:13:38.330,humidity,73.63,1
179.435,23:13:38.330,noise,40.4,1
182.520,23:13:41.414,temperature,22.04,1
182.520,23:13:41.414,humidity,73.83,1
